Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.19E-05,1.33E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.04E-05,2.45E-05,2.45E-05,6.41E-05,0.00023163,0.003135909167,0.4400290083,1.921958333,2.05485,2.350241667,2.691683333,3.17265,3.580608333,3.900516667,4.265083333,4.620516667,4.800341667,5.0746125,5.254258333,5.510133333,5.812408333,6.183541667,6.606916667,7.17,7.659166667,7.936266667,8.0660625,8.011616667,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,,,,,
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.10E-14,1.17E-13,1.68E-13,2.49E-13,5.42E-13,8.22E-13,9.61E-13,1.15E-12,1.47E-12,1.76E-12,1.99E-12,2.29E-12,2.57E-12,2.65E-12,2.94E-12,3.52E-12,4.62E-12,6.12E-12,7.82E-12,1.17E-11,2.28E-11,4.03E-11,7.77E-11,2.50E-10,8.00E-10,2.68E-09,5.91E-09,1.70E-08,1.14E-07,1.23E-06,2.96E-05,0.0001759614431,0.001953023522,0.03827661093,0.6646835141,0.9176666667,1.0051,1.077991667,1.160516667,1.813932847,1.829423122,2.349631709,2.920363018,3.077475118,2.92511945,2.434390036,2.175326667,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,,,,,
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.714290001,1.738099167,2.000000001,2.000000001,2.000000001,1.974876153,1.92128071,1.959220537,2.053230911,2.018866598,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.061220002,3.05226043,2.819555868,2.458579655,2.436866666,2.371299999,2.470841666,2.439399999,2.274024999,2.174558333,2.141208333,2.112691666,2.140024999,2.113049999,2.133083333,2.20015,2.177416667,2.105983333,2.012425,1.950258333,1.812533333,1.72755,1.628966667,1.615790833,1.527444167,1.417375,1.410040833,1.484805833,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,,,,,
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,6.359125005,7.500000007,7.500000007,7.500000007,7.500000007,7.491935231,7.594468374,7.742038562,8.101603227,8.375891946,8.960412728,8.738576171,8.192840348,8.125790946,7.862944701,8.658522817,9.455131933,10.09889824,11.36258333,12.36875,12.61083333,12.9615,13.91708333,16.2255,17.505325,22.74243333,25.91808333,30.49329167,31.3737425,32.42707667,35.43317333,36.31328583,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,,,,,
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.7133208822,0.7146944351,0.7132654943,0.7152871853,0.7172586462,0.7163344011,0.7169834316,0.7170496191,0.7169981561,0.7180571254,0.71641352,0.715216999,0.7691228527,0.6941141376,0.6794770036,0.7395077005,0.869564999,0.8419596657,0.828156999,0.8150066657,0.777224999,0.8367383323,1.029660833,1.096925833,1.298373333,1.902566666,1.879144167,1.678940833,1.8285875,2.014885833,1.860465833,2.021556667,2.109725,2.423075,2.6846455,2.772206667,3.324196667,3.650763333,4.22588,4.62439525,5.101815833,5.841158925,6.327800688,4.949928608,4.69288739,5.110354435,5.836571193,6.138819205,6.826856667,7.155137696,6.793621156,6.838235833,7.619141667,8.398908333,,,,,
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,,,,,
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.9697833324,1.013066666,1.068766666,1.078508333,1.078608333,1.077983332,1.077316666,1.078708333,1.077475,1.076774999,1.044914999,1.009791666,0.9899333325,1.000083332,0.9780333323,1.017158333,0.9860249991,1.063449999,1.140674999,1.171425,1.169216666,1.198908333,1.233733333,1.232416666,1.295066666,1.365483333,1.3895,1.325991667,1.230708333,1.183991667,1.166775,1.145716667,1.208725,1.290074167,1.365638333,1.372440833,1.363468333,1.384616667,1.483463083,1.485731667,1.48511,1.548760833,1.569318333,1.401051667,1.301019167,1.211763333,1.134363333,1.074099167,1.06704,1.143100557,1.030162783,0.9895306919,0.9991883097,1.02979657,,,,,
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.372950003,4.133854168,3.819249999,3.164833332,2.979249999,2.581283332,2.499641666,2.403524999,1.788024999,1.662724999,1.675708333,1.964241666,2.030274999,2.099141666,2.349683333,2.457125,1.798916667,1.491191667,1.4633,1.635925,1.389158333,1.433991667,1.406218333,1.477616667,1.3676925,1.182469167,1.23601,1.4513125,1.449813308,1.502155,1.6888425,1.687615,1.5586075,1.346650833,1.243495833,1.245176667,1.253843333,1.200365833,1.08309,1.088141696,1.042905646,0.8880420282,0.9376844807,0.9269035478,,,,,
