Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.229233,2221.01657,709.3460321,52.71207675,63.93736634,72.86971705,293.6787509,168.6202359,61.13493316,42.53754813,28.39783991,18.10824249,10.33887945,6.997129035,8.426752735,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.53315258,7.561493072,5.879331422,-0.7063572146,10.18181818,2.860286029,6.951871658,11.2,5.470623502,2.209748473,3.955509211,3.674614306,6.511544012,31.48602879,62.8360756,7.976746025,4.494011647,8.107255521,10.35567228,19.71971678,47.2416501,32.13360111,123.5357186,275.5862836,1281.349942,11749.63963,276.3359676,14.57869845,16.00209105,15.17346811,17.1187746,21.44706982,12.0603236,8.527876957,7.874044215,10.19320676,12.42548662,4.70844436,7.673228957,2.159516268,4.608229989,1.589653779,0.9282588516,3.337274997,4.437380801,5.393231069,4.281189481,8.703771843,81.1376396,10.53363793,2.501567534,9.883001462,4.518812388,5.735205887,5.764576458,4.060963726,3.625239368,2.822185557,
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,101.725073,100.5433592,135.0275156,192.1220033,225.989959,147.1426826,228.3362579,629.1131934,1430.72507,2947.73307,432.7866635,951.9620531,1927.38079,2075.888398,66.00703355,15.7576656,6.926712516,3.195076293,4.858447499,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283,3.446367832,
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,3.634875153,7.488743187,5.835231866,7.284216374,7.469255664,11.87665623,16.85508183,38.92292809,20.29446876,4.986768111,8.352369699,9.482382591,13.16983554,14.43051972,14.56756321,10.33246644,5.230298783,4.685797312,3.915105251,1.330068452,3.311731107,4.858859178,6.190114068,3.074572711,6.257526633,6.09389303,1.113439336,0.07720438846,1.878862794,2.386152228,7.71053879,-1.268886607,1.560062402,2.435813035,2.577834904,0.1252494581,1.619433198,1.394422311,6.082187295,7.307662628,4.034229829,8.108108108,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,9.137055838,6.356589147,1.166180758,3.073967339,2.353215284,1.781242886,1.246854906,1.192842942,1.304300371,2.138662932,1.6,1.279527559,4.25170068,2.462518449,5.966641395,1.99613651,1.711560045,-0.4413793103,-0.4156275977,1.558152476,0.595890411,-2.314972425,0.3,0.8142239947,1.244437119,0.1598880783,0.9677741195,2.084980237,1.035717743,0.356869132,0.1379115632,0.1117662614,0.3892050531,-0.2071087317,-0.4151219259,-0.7390687223,-0.1713115254,
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,9.933142311,9.90443093,18.02371542,7.032819826,1.877346683,9.950859951,6.368715084,10.08403361,8.778625954,10,12.28070175,15.98011364,11.20636865,6.99339207,9.495625322,8.789659224,6.513285807,10.57702059,6.77732942,4.01099373,3.410404624,2.483430488,1.566152408,-18.10863013,5.311513063,5.00045438,5.156111388,8.327160494,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,4.310168755,3.858200035,
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,11.97475502,11.73242361,13.16872428,9.04398827,11.73623064,13.63242515,16.42802677,11.13720643,10.47714381,8.577469043,8.0945758,10.00171556,9.801933874,8.351679568,11.57501475,11.39634612,11.76501608,16.1676124,14.33080334,10.54292099,10.51254608,10.08285807,8.719931271,6.661398657,7.749296192,8.601485149,6.55903767,8.032796625,9.189902656,6.945703637,8.610225285,11.55521879,7.080998472,12.70218839,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,-0.03333333333,13.2960987,14.61261129,2.542209668,10.42384023,2.245152512,-6.986802706,-3.964468821,0.6890558073,-0.01233045623,-2.762362807,-1.033608117,-2.915358493,24.57101373,19.18940397,3.724941103,1.611313478,-1.885200962,-1.414202201,3.203400916,3.834860602,2.331817035,4.134709052,-2.066406011,2.883520734,6.695264658,0.9284121098,9.272618503,3.5199021,1.493233784,1.300569969,5.772250594,1.501845124,25.28281065,37.14221481,,,
