Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central Europe and the Baltics,CEB,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95454545,43.17272727,42.32727273,41.99090909,41.4,40.71818182,40.79090909,41.42727273,39.28181818,39.11818182,39.39090909,39,39.00909091,38.48181818
Switzerland,CHE,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,27.6,27.9,27.8,28.7,28.8,28.9,29.4,28.8,28.8,28.8,28.8,28.8,28.8
Channel Islands,CHI,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,25.1,25.1,25.1,24.8,24.5,24.5,27.7,27.7,28.9,29.9,31.4,33,34
China,CHN,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,68.6,67.9,68.2,67.3,64.9
Cote d'Ivoire,CIV,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,53.4,50.6,50.6,50.4,50.2,50.1,44.4,52.5,51.9,51.9,51.3,50.1,50.1
Cameroon,CMR,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,50.8,50.8,50.4,48.8,48.8,48.8,48.8,48.8,48.8,48.8,57.7,57.7,57.7
"Congo, Dem. Rep.",COD,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.1,288.1,288.1,263.3,292.7,339.1,339.1,339.1,55.7,54.7,54.6,54.6,54.6,54.6
"Congo, Rep.",COG,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,64.5,64.5,64.5,64.5,64.5,63.1,64.5,55.8,55,56,54.3,54.3,54.3
Colombia,COL,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7,86.9,87.2,82.8,83,83,79.1,78.7,78.8,79.9,72.3,72.2,72.3,71.9
Comoros,COM,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.9,216.5,216.5,216.5,216.5,216.5,219.6
Cabo Verde,CPV,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,53.1,53.1,53.1,49.7,37.5,37.9,37.2,36.5,36.5,36.5,36.6,36.6,37
Costa Rica,CRI,Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,58.1,58.1,58.1,58.1,58.3,58.3,58.6,58.2,58.2,58.2,58.3,58.3,58.3
